,Make,Year of manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
1964,27,2006,0,240002,2400,0,0,3016000,0
1971,19,2006,0,57358,3500,0,0,1560000,0
1972,7,2005,0,24726,2400,0,0,1560000,0
1973,19,2013,0,94141,35,0,0,6300000,0
1976,7,2004,1,401187,3500,0,0,2912000,0
1977,7,2015,0,78522,2000,0,0,7875000,0
1982,9,2014,1,120005,3300,0,0,9880000,0
1983,19,2010,1,353097,2500,0,0,3465000,0
1987,14,2008,1,198621,3500,0,0,6240000,0
1988,27,2005,0,10680,47,0,0,2100000,0
1989,27,2006,0,240325,3300,2,0,1890000,0
1993,27,2000,0,259598,3000,0,0,1365000,0
2002,19,2006,0,57358,3500,0,0,1560000,0
2004,7,2012,0,227802,3500,0,0,6760000,0
2005,7,2007,1,165176,35,0,0,3432000,0
2015,14,2000,0,222631,4700,0,0,1470000,0
2022,19,2010,0,184695,2500,0,2,2100000,0
2028,7,2009,0,312879,3500,0,0,3150000,0
2029,27,1997,0,410470,3400,0,0,1470000,0
2033,27,2005,0,10680,47,0,0,2100000,0
2036,7,2010,0,109575,3500,0,0,3120000,0
2037,19,2006,0,38345,2500,0,0,1560000,0
2040,27,2006,0,142285,3500,0,0,2100000,0
2054,19,2015,0,32325,3500,0,0,7560000,0
2078,27,2006,0,142285,3500,0,0,2100000,0
2095,7,2015,0,78522,2000,0,0,7875000,0
2096,7,2007,1,389149,3500,0,0,2912000,0
2100,7,2003,0,175567,3500,0,0,1612000,0
2101,27,2005,0,342742,3300,0,0,1680000,0
2108,11,2014,0,51566,3600,0,0,18900000,0
2112,19,2008,1,213339,2500,0,0,3028000,0
2113,27,2006,0,207615,4000,0,0,6240000,0
2117,7,2013,0,104281,2400,0,0,4200000,0
2119,7,2009,0,202694,3500,0,0,2625000,0
2120,7,2011,0,226014,3500,0,0,2940000,0
2121,9,2012,0,100000,2500,0,0,2625000,0
2122,5,2001,0,183738,2300,0,0,1470000,0
2128,7,2008,0,344223,3500,0,0,2600000,0
2129,9,2010,0,262797,3800,0,0,2677500,0
2132,14,1999,0,2254489,3500,0,0,1575000,0
2134,19,2015,0,32325,3500,0,0,7560000,0
2137,12,2013,1,134409,2400,0,0,6615000,0
2139,11,2014,0,51566,3600,0,0,18900000,0
2141,18,2007,0,220442,3800,0,0,3465000,0
2143,19,2014,0,93520,5600,0,0,2310000,0
2146,27,2003,0,116440,2000,0,0,2080000,0
2150,0,2002,0,200741,3500,0,0,1260000,0
2153,7,2008,0,344223,3500,0,0,2600000,0
2156,19,2013,0,43644,2000,0,2,2940000,0
2164,5,2007,0,217815,3000,0,0,1575000,0
2166,7,2009,0,49198,3500,0,0,2730000,0
2173,7,2010,0,109575,3500,0,0,3120000,0
2177,7,2004,0,255711,3500,0,0,2496000,0
2186,7,2007,1,389149,3500,0,0,2912000,0
2187,7,2003,0,175567,3500,0,0,1612000,0
2191,27,2006,0,111133,2400,0,0,2047500,0
2193,7,2006,0,328495,3500,0,0,1872000,0
2194,7,2004,1,401187,3500,0,0,2912000,0
2195,14,2007,0,220726,3500,0,0,4680000,0
2197,5,2010,0,270431,3500,0,0,2612000,0
2202,27,2003,0,170206,3000,0,0,2704000,0
2208,7,2005,0,159924,3500,0,0,1872000,0
2211,2,2002,0,176466,3000,0,0,1687500,0
2212,5,2001,0,239647,2800,0,0,1365000,0
2214,14,2007,0,220726,3500,0,0,4680000,0
2215,27,2003,0,116440,2000,0,0,2080000,0
2216,24,2012,1,163834,2000,0,0,10185000,0
2217,17,2007,0,110735,3500,0,0,2940000,0
2219,14,2004,0,151357,3300,0,0,4680000,0
2222,9,2012,0,1580052,2200,0,0,2310000,0
2226,17,2007,0,110735,3500,0,0,2940000,0
2233,19,2007,0,233903,3000,0,0,1680000,0
2234,7,2005,0,273444,3500,0,0,1560000,0
2243,5,2007,0,115945,3500,0,3,1575000,0
2246,14,2008,0,115820,4700,0,0,4200000,0
2247,17,2007,0,243975,4700,0,0,2310000,0
2250,19,2014,0,93520,5600,0,0,2310000,0
2254,9,2009,0,87854,2000,0,0,1575000,0
2260,14,2000,0,222631,4700,0,0,1470000,0
2264,12,2013,0,85282,2400,0,0,4200000,0
